gene logFC FDR up_in_female V7
ENSRNOT00000087861.1 -7.87311597848752 9.52062745383817e-06 TRUE Vars
ENSRNOT00000087883.1 -2.59405560969921 0.0022099857904831 TRUE Foxj2
ENSRNOT00000087897.1 -5.83448160732803 0.0212294554571733 TRUE Samd9l
ENSRNOT00000087928.1 -0.652217322834733 0.000236610993155357 TRUE Aldoa
ENSRNOT00000087957.1 -5.550614501417 0.0374007080326878 TRUE Lilrb3l
ENSRNOT00000087976.1 5.40585240019122 0.0392346882364739 FALSE Rn60_14_1002.4
ENSRNOT00000088025.1 -6.02808135106049 0.0137646071371705 TRUE Bclaf1
ENSRNOT00000088048.1 -0.727979085292439 1.60142992156489e-07 TRUE Adgrg1
ENSRNOT00000088111.1 1.15368633825177 2.6656804683004e-12 FALSE AABR07015055.1
ENSRNOT00000088272.1 5.74246294778295 0.0326788748315911 FALSE Sry3
ENSRNOT00000088312.1 6.78366815797955 0.00262730652911291 FALSE Tmod4
ENSRNOT00000088508.1 5.63311067013324 0.0397285665959181 FALSE Slc10a6
ENSRNOT00000088534.1 5.74246294778295 0.0326788748315911 FALSE Sry3
ENSRNOT00000088593.1 14.0849314423553 5.30088349650389e-282 FALSE Eif2s3y
ENSRNOT00000088616.1 6.43250743193041 4.13291733771308e-69 FALSE AC239701.1
ENSRNOT00000088878.1 -0.315514837909587 0.0403402956500319 TRUE Robo2
ENSRNOT00000089138.1 -8.27070618813775 6.02503974309381e-07 TRUE RGD1311345
ENSRNOT00000089235.1 1.27797690393844 2.4917679216468e-08 FALSE Mpdz
ENSRNOT00000089870.1 -8.49698589243812 1.08507223965258e-07 TRUE AC117925.4
ENSRNOT00000090422.1 -0.377122660845247 0.00753028751813306 TRUE Hbb
ENSRNOT00000090536.1 -1.36200377356296 0.0430348390939788 TRUE Rgs14
ENSRNOT00000090579.1 -1.11772524237896 9.8315134654119e-05 TRUE Pdp1
ENSRNOT00000090678.1 -2.98715323106514 1.02517766057353e-05 TRUE AABR07024041.1
ENSRNOT00000090922.1 -5.76720215243942 0.0249219989489365 TRUE Htr2c
ENSRNOT00000091100.1 -8.23074564189472 6.75620141390943e-11 TRUE Fbxw10
ENSRNOT00000091116.1 -0.693090710552796 5.02886116939845e-05 TRUE AC096370.2
ENSRNOT00000091297.1 1.49181535974121 2.01063545392813e-13 FALSE Aldh18a1
ENSRNOT00000091468.1 -6.94927777933548 0.00115618415560278 TRUE Ppt2
ENSRNOT00000091696.1 8.71688815688276 4.60425709844946e-09 FALSE B4galt6
ENSRNOT00000091757.1 5.84947270530124 0.0265283040233603 FALSE Mcpt2
ENSRNOT00000091885.1 6.86457959359941 0.00200925723456066 FALSE Mdm1
ENSRNOT00000092019.1 -0.668579459149987 3.74809414932392e-11 TRUE Eif2s3
ENSRNOT00000092078.1 10.3446656647187 7.86183965224675e-250 FALSE Ddx3y
ENSRNOT00000092178.1 7.68000712174465 7.36912501592068e-05 FALSE Uba1y
